Title,Original Url,Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",Size,Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
Here's when America could reopen | FOX News Rundown podcast,https://www.youtube.com/watch?v=qEvCFd4aNeI,https://www.youtube.com/watch?v=qEvCFd4aNeI,text/html; charset=utf-8,200,OK,Indexable,,Here's when America could reopen | FOX News Rundown podcast - YouTube,69,680,"Fox News Rundown podcast | April 15, 2020 Get more episodes of the Fox News Rundown podcast here: https://bit.ly/37n2wbe Subscribe to Fox News! https://bit.l...",160,1028,"Fox News Channel, FNC, Fox News, world health organization coronavirus, coronavirus vaccine update, small business loans coronavirus, irs coronavirus direct ...",160,This video is unavailable.,26,Here's when America could reopen | FOX News Rundown podcast,59,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=qEvCFd4aNeI,,,,,323553,1133,2.2877524,0,,202,101,20.2,72,51,8,5,9149cd41b6136542a0fe717bdd572917,0.09,,,,https://www.youtube.com/watch?v=qEvCFd4aNeI
Trump accuses WHO is 'covering up' the spread of COVID-19,https://www.youtube.com/watch?v=Yod89-C9jcc,https://www.youtube.com/watch?v=Yod89-C9jcc,text/html; charset=utf-8,200,OK,Indexable,,Trump accuses WHO is 'covering up' the spread of COVID-19 - YouTube,67,641,The president accuses the World Health Organization of mismanaging and covering up the spread of COVID-19; John Roberts reports with the reaction in Washingt...,160,1040,"Fox News Channel, Fox News, News, politics, americas newsroom, john roberts, john roberts white house, john roberts fox news, trump, donald trump, trump who,...",160,This video is unavailable.,26,Trump accuses WHO is 'covering up' the spread of COVID-19,57,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=Yod89-C9jcc,,,,,321787,885,1.8475642,0,,4,2,0.4,71,50,8,5,9b0f2d83c9912b86cdf2e4a7d022ae7a,0.096,,,,https://www.youtube.com/watch?v=Yod89-C9jcc
Kellyanne Conway breaks down Trump's plan to reopen America,https://www.youtube.com/watch?v=Y66L4xeuj-I,https://www.youtube.com/watch?v=Y66L4xeuj-I,text/html; charset=utf-8,200,OK,Indexable,,Kellyanne Conway breaks down Trump's plan to reopen America - YouTube,69,664,"Counselor to the president Kellyanne Conway details the White House strategy on reopening the economy, decision to halt WHO funding and more on 'Fox & Friend...",160,1044,"Fox News Channel, Fox News, News, politics, fox and friends, fox & friends, ainsley earhardt, brian kilmeade, steve doocy, kellyanne, kellyanne conway, kelly...",160,This video is unavailable.,26,Kellyanne Conway breaks down Trump's plan to reopen America,59,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=Y66L4xeuj-I,,,,,318393,886,1.8687714,0,,516,258,51.6,71,50,8,5,f7ee10d439f5e6e1c239c0f258372a08,0.317,,,,https://www.youtube.com/watch?v=Y66L4xeuj-I
Ingraham: Closing America undoubtedly both saved and ruined lives,https://www.youtube.com/watch?v=eGaNn5SwLLg,https://www.youtube.com/watch?v=eGaNn5SwLLg,text/html; charset=utf-8,200,OK,Indexable,,Ingraham: Closing America undoubtedly both saved and ruined lives - YouTube,75,688,Now the White House appears ready to greenlight a re-opening of large parts of the country. #FoxNews #IngrahamAngle FOX News operates the FOX News Channel (F...,160,1065,"gavin newsom, reopen economy, congress closed, laura ingraham thoughts, laura ingraham on coronavirus, ingraham newsom, california coronavirus, small busines...",160,This video is unavailable.,26,Ingraham: Closing America undoubtedly both saved and ruined lives,65,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=eGaNn5SwLLg,,,,,322873,877,1.8456287,0,,6,3,0.6,75,52,8,5,23a966abe8c54c71a6825f842f512aaa,0.118,,,,https://www.youtube.com/watch?v=eGaNn5SwLLg
Ingraham presses Pence on reopening the economy in exclusive interview,https://www.youtube.com/watch?v=v9RaVQxVRh8,https://www.youtube.com/watch?v=v9RaVQxVRh8,text/html; charset=utf-8,200,OK,Indexable,,Ingraham presses Pence on reopening the economy in exclusive interview - YouTube,80,741,Vice President Mike Pence sits down with Laura Ingraham to discuss reopening the economy and the administrations effort to stop the spread of coronavirus. #F...,160,1020,"Mike Pence, Mike Pence Laura Ingraham, Laura Ingraham Exclusive, Laura Ingraham Exclusive mike pence, mike pence coronavirus, trump administration, congress ...",160,This video is unavailable.,26,Ingraham presses Pence on reopening the economy in exclusive interview,70,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=v9RaVQxVRh8,,,,,328088,894,1.828402,0,,176,88,17.6,75,52,8,5,393d00ab9331c06505b89d36d77e3b53,0.102,,,,https://www.youtube.com/watch?v=v9RaVQxVRh8
"Pompeo urges Chinese government to cooperate, provide accurate data",https://www.youtube.com/watch?v=N7rblc5gMDc,https://www.youtube.com/watch?v=N7rblc5gMDc,text/html; charset=utf-8,200,OK,Indexable,,"Pompeo urges Chinese government to cooperate, provide accurate data - YouTube",77,731,Secretary of State Mike Pompeo joins Sean Hannity to discuss the origins of the coronavirus pandemic and the Trump administration's response on 'Hannity.' #F...,160,1020,"Mike Pompeo, Secretary of State pompeo, trump travel ban, travel ban, travel ban saved lives, secretary of state, mike pompeo travel ban, pompeo china, china...",160,This video is unavailable.,26,"Pompeo urges Chinese government to cooperate, provide accurate data",67,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=N7rblc5gMDc,,,,,321556,870,1.8371079,0,,2,1,0.2,75,52,8,5,a93232205a7d50cf6cfa46c94946e15f,0.142,,,,https://www.youtube.com/watch?v=N7rblc5gMDc
Hannity: Why did Barack Obama finally decide to endorse Joe Biden?,https://www.youtube.com/watch?v=8tzLr4KrqjY,https://www.youtube.com/watch?v=8tzLr4KrqjY,text/html; charset=utf-8,200,OK,Indexable,,Hannity: Why did Barack Obama finally decide to endorse Joe Biden? - YouTube,76,707,"Why, in the middle of a national emergency, did Obama decide to finally endorse Biden? Maybe he didn¡¯t want anyone to hear it. #FoxNews #Hannity FOX News ope...",160,1043,"obama sean hannity, obama endorses biden, obama endorses biden video, obama fox news, fox news obama, obama hannity, obama endorsement video, obama video end...",160,This video is unavailable.,26,Hannity: Why did Barack Obama finally decide to endorse Joe Biden?,66,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=8tzLr4KrqjY,,,,,321334,873,1.8448416,0,,468,234,46.8,75,52,8,5,e4ce5d708c93a583659a55916e65fd48,0.106,,,,https://www.youtube.com/watch?v=8tzLr4KrqjY
Tucker: What is the actual death rate of COVID-19?,https://www.youtube.com/watch?v=6NjCitwKJSQ,https://www.youtube.com/watch?v=6NjCitwKJSQ,text/html; charset=utf-8,200,OK,Indexable,,Tucker: What is the actual death rate of COVID-19? - YouTube,60,555,"If coronavirus infection is more widespread than we thought, by definition that means the virus is less deadly; insight from Dr. Jay Bhattacharya, Stanford U...",160,982,"coronavirus infections, tucker carlson coronavirus, coronavirus reasearch, nyc coronavirus, new york coronavirus, tucker, tucker carlson, tucker carlson mono...",160,This video is unavailable.,26,Tucker: What is the actual death rate of COVID-19?,50,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=6NjCitwKJSQ,,,,,322642,914,1.9395176,0,,286,143,28.6,75,52,8,5,3f0d1aa6501b58aca61191e6aa123fdf,0.085,,,,https://www.youtube.com/watch?v=6NjCitwKJSQ
Rep. Gaetz demands US stop funding Chinese research labs,https://www.youtube.com/watch?v=0SVJ9UHK6wU,https://www.youtube.com/watch?v=0SVJ9UHK6wU,text/html; charset=utf-8,200,OK,Indexable,,Rep. Gaetz demands US stop funding Chinese research labs - YouTube,66,630,"Rep. Matt Gaetz, R-FL, breaks down how funding from the United States goes to Chinese research labs. #FoxNews #Tucker FOX News operates the FOX News Channel ...",160,1074,"Matt Gaetz, Gaetz, Rep Matt Gaetz, China Matt Gaetz, China research labs, research labs coronavirus, donald trump, president trump, rep gaetz, tucker carlson...",160,This video is unavailable.,26,Rep. Gaetz demands US stop funding Chinese research labs,56,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=0SVJ9UHK6wU,,,,,322699,870,1.8172125,0,,6,3,0.6,75,52,8,5,c469623472c12366fd91505c8cfae1d6,0.097,,,,https://www.youtube.com/watch?v=0SVJ9UHK6wU
"Media standard differs between Kavanaugh, Biden allegations: Kurtz",https://www.youtube.com/watch?v=JgH3vjK7YhI,https://www.youtube.com/watch?v=JgH3vjK7YhI,text/html; charset=utf-8,200,OK,Indexable,,"Media standard differs between Kavanaugh, Biden allegations: Kurtz - YouTube",76,696,"Fox News media analyst Howard Kurtz, host of 'MediaBuzz,' examines how media coverage of the allegation against Joe Biden compares with the handling of simil...",160,1023,"Brett Kavanaugh, Joe Biden, Joe Biden Allegations, Allegations, tara reade biden, tara reade, biden allegations tara reade, biden sexual assault, joe biden i...",160,This video is unavailable.,26,"Media standard differs between Kavanaugh, Biden allegations: Kurtz",66,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=JgH3vjK7YhI,,,,,316424,882,1.8797729,0,,0,0,0,73,51,8,5,b77b3d709bbf3e3600aff0737a9ba98e,0.101,,,,https://www.youtube.com/watch?v=JgH3vjK7YhI
"Trump, Coronavirus Task Force hold White House briefing | 4/14/20",https://www.youtube.com/watch?v=xk1EXwA4HAg&t=22s,https://www.youtube.com/watch?v=xk1EXwA4HAg&t=22s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,"Trump, Coronavirus Task Force hold White House briefing | 4/14/20 - YouTube",75,690,"President Trump announces suspending funding to World Health Organization. FOX News operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News...",160,1094,"Fox News Channel, FNC, Fox News, News, Latest News, Top stories, live stream, live, fox, live video, live updates, fox live stream, coronavirus, corona virus...",160,This video is unavailable.,26,"Trump, Coronavirus Task Force hold White House briefing | 4/14/20",65,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=xk1EXwA4HAg,,,,,315751,888,1.8863084,0,,0,0,0,71,50,8,5,d716e9b756b553e932887ce596a8da68,0.11,,,,https://www.youtube.com/watch?v=xk1EXwA4HAg&t=22s
"Trump's heated argument with media over states' rights, WHO funding",https://www.youtube.com/watch?v=VTpSl5KUbFc,https://www.youtube.com/watch?v=VTpSl5KUbFc,text/html; charset=utf-8,200,OK,Indexable,,"Trump's heated argument with media over states' rights, WHO funding - YouTube",77,712,"President Trump argues with the press over China's transparency surrounding coronavirus. #FoxNews FOX News operates the FOX News Channel (FNC), FOX Business ...",160,1078,"Trump China, China propoganda, trump mutiny, mutiny on the bounty, state rights, government overreach, WHO funding, trump WHO funding, world health organizat...",160,This video is unavailable.,26,"Trump's heated argument with media over states' rights, WHO funding",67,Transcript,10,,0,,,,https://www.youtube.com/watch?v=VTpSl5KUbFc,,,,,318097,853,1.8448479,0,,66,33,6.6,73,51,8,5,2408f412534c67d0164dd77f39a9590c,0.097,,,,https://www.youtube.com/watch?v=VTpSl5KUbFc
Trump suspends US funding to World Health Organization,https://www.youtube.com/watch?v=jQ_DW-4x6LU,https://www.youtube.com/watch?v=jQ_DW-4x6LU,text/html; charset=utf-8,200,OK,Indexable,,Trump suspends US funding to World Health Organization - YouTube,64,601,President Trump announces the United States will stop funding the World Health Organization due to handling of the coronavirus pandemic. #FoxNews FOX News op...,160,1046,"invisible enemy, world health organization, WHO, WHO funding, Trump WHO, trump suspends WHO funding, trump total authority, coronavirus china, coronavirus ou...",160,This video is unavailable.,26,Trump suspends US funding to World Health Organization,54,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=jQ_DW-4x6LU,,,,,318962,884,1.8702226,0,,8,4,0.8,73,51,8,5,61722bc7cb0ee20a591a775129e28f5b,0.094,,,,https://www.youtube.com/watch?v=jQ_DW-4x6LU
Gutfeld on Trump shattering the media ceiling,https://www.youtube.com/watch?v=46TY7XObSsE&t=9s,https://www.youtube.com/watch?v=46TY7XObSsE&t=9s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Gutfeld on Trump shattering the media ceiling - YouTube,55,495,"President Trump defends early virus actions during fiery press briefing. #FoxNews #TheFive FOX News operates the FOX News Channel (FNC), FOX Business Network...",160,1063,"The Five, Gutfeld Monologue, Greg Gutfeld monologue, trump media video, trump media task force video, trump video, trump total authority, trump mutinity, pal...",160,This video is unavailable.,26,Gutfeld on Trump shattering the media ceiling,45,Transcript,10,,0,,,,https://www.youtube.com/watch?v=46TY7XObSsE,,,,,318538,841,1.7848958,0,,0,0,0,75,52,8,5,359b26ad635ae8743c5b78d46f815594,0.09,,,,https://www.youtube.com/watch?v=46TY7XObSsE&t=9s
¡®The Five¡¯ questions sincerity of Obama¡¯s Biden endorsement,https://www.youtube.com/watch?v=MC3e4eRb8Z8,https://www.youtube.com/watch?v=MC3e4eRb8Z8,text/html; charset=utf-8,200,OK,Indexable,,¡®The Five¡¯ questions sincerity of Obama¡¯s Biden endorsement - YouTube,69,631,Obama backs his former vice president after reportedly advising him not to run; reaction and analysis on 'The Five.' #FoxNews #TheFive FOX News operates the ...,160,1027,"obama endorses joe biden, obama endorese biden, barack obama joe biden endorsement, tara reid joe biden, obama biden, joe biden campaign, joe biden, biden, j...",160,This video is unavailable.,26,¡®The Five¡¯ questions sincerity of Obama¡¯s Biden endorsement,59,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=MC3e4eRb8Z8,,,,,320874,862,1.8028606,0,,350,175,35,75,52,8,5,79d31da348052a8a35e92796544111de,0.11,,,,https://www.youtube.com/watch?v=MC3e4eRb8Z8
Madeleine Albright slams China's 'lack of transparency' on coronavirus,https://www.youtube.com/watch?v=EHe-xD55bbQ,https://www.youtube.com/watch?v=EHe-xD55bbQ,text/html; charset=utf-8,200,OK,Indexable,,Madeleine Albright slams China's 'lack of transparency' on coronavirus - YouTube,80,711,"Former U.S. Secretary of State Madeleine Albright weighs in on coronavirus response, China's responsibility in outbreak on 'The Daily Briefing.' #FoxNews FOX...",160,1012,"Madeline Albright, Albright, Madeline Albright coronavirus, daily briefing, dana perino, fox news madeline albright, china disinformation, china lies, china ...",160,This video is unavailable.,26,Madeleine Albright slams China's 'lack of transparency' on coronavirus,70,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=EHe-xD55bbQ,,,,,319838,872,1.8800261,0,,2,1,0.2,73,51,8,5,4598f7f41ee1b9494ebe2504b616a47b,0.097,,,,https://www.youtube.com/watch?v=EHe-xD55bbQ
Trump participates in meeting with healthcare executives,https://www.youtube.com/watch?v=eD9BbJ9MTnU,https://www.youtube.com/watch?v=eD9BbJ9MTnU,text/html; charset=utf-8,200,OK,Indexable,,Trump participates in meeting with healthcare executives - YouTube,66,592,President Trump discusses healthcare issues amid pandemic. Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more Fox News Video: http://video.foxnews.com ...,160,1041,"fnc, fox news, fox news channel, fox news media, fox news network, Trump health care officials, fox news live, fox news trump, trump live, trump healthcare l...",160,This video is unavailable.,26,Trump participates in meeting with healthcare executives,56,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=eD9BbJ9MTnU,,,,,315852,865,1.8473951,0,,0,0,0,71,50,8,5,dd078f12125b70e9b0571c43bd4653df,0.11,,,,https://www.youtube.com/watch?v=eD9BbJ9MTnU
Trump suggests state governors are staging a 'mutiny',https://www.youtube.com/watch?v=LKeKQpltG6k,https://www.youtube.com/watch?v=LKeKQpltG6k,text/html; charset=utf-8,200,OK,Indexable,,Trump suggests state governors are staging a 'mutiny' - YouTube,63,573,President Trump suggests governors are staging a mutiny in a tweet; chief White House correspondent John Roberts reports. Subscribe to Fox News! https://bit....,160,1019,"Fox News Channel, Fox News, News, politics, bill hemmer, bill hemmer reports, john roberts, white house, trump, trump twitter, trump today, trump tweets, tru...",160,This video is unavailable.,26,Trump suggests state governors are staging a 'mutiny',53,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=LKeKQpltG6k,,,,,315119,864,1.8464742,0,,4,2,0.4,71,50,8,5,10358896f859c7cd9f7c795000b0c8c1,0.1,,,,https://www.youtube.com/watch?v=LKeKQpltG6k
Storytime with Dana Perino: Fresh Princess,https://www.youtube.com/watch?v=dJJe00r-AIc,https://www.youtube.com/watch?v=dJJe00r-AIc,text/html; charset=utf-8,200,OK,Indexable,,Storytime with Dana Perino: Fresh Princess - YouTube,52,480,Fox News host and avid reader Dana Perino has turned her love of books into a way to help children who are stuck at home during the coronavirus pandemic with...,160,1028,"Fox News Channel, FNC, Fox News, News, Latest News, Top stories, live stream, live, fox, fox business live, live video, live updates, fox live stream, storyt...",160,This video is unavailable.,26,Storytime with Dana Perino: Fresh Princess,42,Transcript,10,,0,,,,https://www.youtube.com/watch?v=dJJe00r-AIc,,,,,311802,825,1.7882116,0,,0,0,0,73,51,5,5,de96fbe43dfd7ee07793c1c91016cc59,0.237,,,,https://www.youtube.com/watch?v=dJJe00r-AIc
